detection_id,symbol,reason,tier,pivot_dist,target_new,target_legacy,target_code,breakout_price
bump_and_run_reversal_bottoms:000238,CBI,ok,standard,15.0,10.2,9.2,9.2,7.2
bump_and_run_reversal_bottoms:000239,CBS,ok,premium,35.0,39.17,33.12,33.12,26.11
bump_and_run_reversal_bottoms:000240,CC1,no_pivot_fits_lead_in,data_limited,,,8.91,8.91,7.29
bump_and_run_reversal_bottoms:000241,CC1,ok,premium,1.0,14.41,14.41,14.41,12.61
bump_and_run_reversal_bottoms:000242,CCC,no_pivot_fits_lead_in,standard,,,19.29,19.29,17.6
bump_and_run_reversal_bottoms:000243,CCI,no_pivot_fits_lead_in,data_limited,,,7.29,7.29,6.71
bump_and_run_reversal_bottoms:000244,CCL,ok,standard,114.0,2.3,1.89,1.89,1.47
bump_and_run_reversal_bottoms:000245,CCL,ok,standard,37.0,1.98,1.79,1.79,1.68
bump_and_run_reversal_bottoms:000246,CCL,ok,premium,1.0,7.72,7.72,7.72,6.65
bump_and_run_reversal_bottoms:000247,CCM,no_pivot_fits_lead_in,data_limited,,,38.093,38.11,32.01
bump_and_run_reversal_bottoms:000248,CCP,no_pivot_fits_lead_in,data_limited,,,24.219,24.22,20.98
bump_and_run_reversal_bottoms:000249,CCT,ok,data_limited,6.0,14.7,14.4,14.4,11.9
bump_and_run_reversal_bottoms:000250,CDC,ok,standard,79.0,1.04,0.95,0.95,0.67
bump_and_run_reversal_bottoms:000251,CDC,ok,standard,161.0,2.17,1.84,1.84,1.36
bump_and_run_reversal_bottoms:000252,CDN,no_pivot_fits_lead_in,data_limited,,,12.94,12.94,11.94
bump_and_run_reversal_bottoms:000253,CDN,no_pivot_fits_lead_in,standard,,,38.78,38.78,29.88
bump_and_run_reversal_bottoms:000254,CDR,ok,data_limited,10.0,6.55,6.24,6.24,5.08
bump_and_run_reversal_bottoms:000255,CEN,ok,premium,64.0,19.0,13.1,13.1,10.1
bump_and_run_reversal_bottoms:000256,CEO,ok,standard,33.0,7.23,6.72,6.72,5.68
bump_and_run_reversal_bottoms:000257,CEO,ok,premium,6.0,14.15,13.7,13.7,11.79
bump_and_run_reversal_bottoms:000258,CEO,ok,premium,33.0,31.33,25.81,25.81,19.62
bump_and_run_reversal_bottoms:000259,CGV,ok,data_limited,47.0,4.1,3.3,3.3,2.8
bump_and_run_reversal_bottoms:000260,CHP,no_pivot_fits_lead_in,standard,,,8.45,8.45,7.84
bump_and_run_reversal_bottoms:000261,CHP,ok,data_limited,4.0,11.49,11.49,11.49,10.81
bump_and_run_reversal_bottoms:000262,CHP,no_pivot_fits_lead_in,standard,,,18.85,18.85,16.25
bump_and_run_reversal_bottoms:000263,CI5,ok,data_limited,68.0,11.2,6.9,6.9,5.5
bump_and_run_reversal_bottoms:000264,CI5,ok,data_limited,222.0,11.2,5.7,5.7,3.7
bump_and_run_reversal_bottoms:000265,CID,cut_by_search_cap,data_limited,,,6.889,6.92,3.76
bump_and_run_reversal_bottoms:000266,CID,no_pivot_fits_lead_in,data_limited,,,12.28,12.33,6.54
bump_and_run_reversal_bottoms:000267,CID,ok,data_limited,17.0,20.306,15.071,15.07,13.47
bump_and_run_reversal_bottoms:000268,CIG,no_pivot_fits_lead_in,data_limited,,,4.86,4.86,3.99
bump_and_run_reversal_bottoms:000269,CIG,ok,standard,2.0,2.22,2.22,2.22,1.75
bump_and_run_reversal_bottoms:000270,CII,ok,premium,5.0,28.99,28.81,28.81,24.7
